x,y,time
112,304,79121
108,284,79251
40,224,79382
44,200,79512
108,148,79643
104,124,79773
196,168,80034
192,144,80164
268,48,80425
272,72,80555
336,124,80686
332,148,80816
424,104,81077
420,128,81207
336,292,81469
302,133,81730
180,240,81991
180,240,82121
196,332,82382
195,332,82512
90,221,83556
260,57,83817
222,137,83947
281,367,84208
229,293,84338
112,96,84599
180,217,84860
278,245,84991
488,120,85251
390,92,85382
178,216,85643
236,343,85774
236,343,85839
236,343,85904
96,333,86034
276,244,86164
84,228,86425
172,296,86686
332,44,87077
332,44,87143
332,44,87208
424,120,87469
340,208,87599
388,344,87730
343,252,87991
192,340,88121
152,244,88382
1,332,88512
92,180,88773
137,88,89034
288,176,89164
328,80,89425
479,168,89555
137,88,89817
348,260,90077
324,64,90338
324,64,90469
324,64,90599
164,283,90860
60,176,91251
268,332,91382
140,105,91773
360,200,91904
140,105,92164
152,200,92295
372,295,92556
360,200,92687
140,105,92947
268,216,93208
360,200,93338
232,356,93599
148,342,93730
64,332,93860
178,226,93991
268,215,94185
268,215,94251
88,192,94382
352,284,94512
220,132,94904
268,296,95034
180,348,95426
180,348,95491
180,348,95556
68,276,95817
144,176,95947
56,52,96077
68,276,96338
233,187,96469
268,308,96730
352,88,96861
440,332,97121
352,88,97382
252,128,97512
172,56,97643
88,204,97773
252,128,97904
80,100,98034
196,224,98164
252,128,98425
172,56,98686
80,100,98947
88,204,99208
80,100,99469
172,56,99730
252,128,99991
196,224,100251
